OCC|Date exportation|Pays d'exportation|Quantite|PU|PT|EQ DT|EQ EU|Devise|Produit
Ccpb|2025-01-13|Allemagne|1000.0|2.25|2250|7447.5|2250.0|3.31|Pâte de dattes
Ccpb|2025-01-13|Allemagne|500.0|3.0|1500|4965.0|1500.0|3.31|Sirop de dattes
Ccpb|2025-01-13|Bretagne|4000.0|2.8|11200|37072.0|11200.0|3.31|Poudre de dattes
Ccpb|2025-01-22|France|2000.0|2.7|5400|17874.0|5400.0|3.31|Dattes Branchées
Ccpb|2025-01-22|France|8000.0|2.3|18400|60904.0|18400.0|3.31|Dattes Standards
Ccpb|2025-01-23|Allemagne|21072.0|2.86|60265.92|200082.8544|60265.92|3.32|Dattes dénoyautées
Ccpb|2025-01-24|Pays-Bas|5000.0|2.7|13500|44820.0|13500.0|3.32|Dattes dénoyautées
Ccpb|2025-01-24|Finlande|8000.0|2.5|20000|66000.0|20000.0|3.3|Dattes dénoyautées
Ccpb|2025-01-27|France|525.0|3.55|1863.75|6187.65|1863.75|3.32|Dattes dénoyautées
Ccpb|2025-01-27|France|2400.0|1.0|2400|7968.0|2400.0|3.32|Pâte de dattes
Ccpb|2025-01-28|Italie|19012.8|2.93|55707.504|184948.9|55707.5|3.32|Dattes dénoyautées
Ccpb|2025-01-28|Allemagne|12000.0|2.62|31440|104380.8|31440.0|3.32|Poudre de dattes
Ccpb|2025-01-28|Allemagne|10400.0|2.6|27040|89772.8|27040.0|3.32|Poudre de dattes
Ccpb|2025-01-28|Allemagne|1050.0|1.95|2047.5|6797.7|2047.5|3.32|Pâte de dattes
Ccpb|2025-01-31|France|15000.0|2.48|37200|123504.0|37200.0|3.32|Dattes dénoyautées
Ccpb|2025-01-31|France|5000.0|1.7|8500|28220.0|8500.0|3.32|Dattes Standards
Ccpb|2025-01-31|Belgique|2000.0|1.25|2500|8300.0|2500.0|3.32|Pâte de dattes
Ccpb|2025-02-03|Allemagne|20000.0|2.3|46000|153180.0|46000.0|3.33|Poudre de dattes
Ccpb|2025-02-06|Italie|19012.8|2.93|55707.504|183834.7632|55707.504|3.3|Dattes dénoyautées
Ccpb|2025-02-07|Allemagne|20000.0|1.33|26600|87780.0|26600.0|3.3|Pâte de dattes
Ccpb|2025-02-07|Pays-Bas|3000.0|2.7|8100.000000000001|26730.0|8100.000000000001|3.3|Dattes dénoyautées
Ccpb|2025-02-07|France|87.5|10.857142857142858|950|3135.0|950.0|3.3|Barres de dattes au chocolat 35 g
Ccpb|2025-02-07|France|70.0|10.857142857142858|760|2508.0|760.0|3.3|Barres de dattes Banane-Coco 35 g
Ccpb|2025-02-18|Turquie|50000.0|2.11|105500|349205.0|105500.0|3.31|Dattes dénoyautées
Ccpb|2025-02-18|Turquie|50000.0|2.06|103000|340930.0|103000.0|3.31|Dattes dénoyautées
Ccpb|2025-02-07|Espagne|4950.0|2.95|14602.5|48188.25|14602.5|3.3|Dattes dénoyautées
Ccpb|2025-02-12|Allemagne|5292.0|2.6|13759.2|45542.952|13759.2|3.31|Dattes dénoyautées
Ccpb|2025-02-13|Slovaquie|4000.0|0.8|3200|10624.0|3200.0|3.32|Pâte de dattes
Ccpb|2025-02-13|Slovaquie|800.0|1.9|1520|5046.4|1520.0|3.32|Dattes dénoyautées
Ccpb|2025-02-13|Slovaquie|1600.0|2.5|4000|13280.0|4000.0|3.32|Poudre de dattes
Ccpb|2025-02-14|Pays-Bas|4000.0|2.7|10800|35640.0|10800.0|3.3|Dattes dénoyautées
Ccpb|2025-02-14|France|3000.0|2.2|6600.000000000001|21780.0|6600.000000000001|3.3|Dattes dénoyautées
Ccpb|2025-02-14|France|3280.0|1.0|3280|10824.0|3280.0|3.3|Pâte de dattes
Ccpb|2025-02-14|France|19012.8|2.93|55707.504|184391.83824|55707.504|3.31|Dattes dénoyautées
Ccpb|2025-02-17|France|500.0|3.0|1500|5010.0|1500.0|3.34|Dattes découpées
Ccpb|2025-02-17|France|1300.0|3.1|4030|13339.3|4030.0|3.31|Dattes dénoyautées
Ccpb|2025-02-17|France|6004.0|1.725|10356.9|34281.339|10356.9|3.31|Pâte de dattes
Ccpb|2025-02-17|France|4700.0|3.0|14100|46671.0|14100.0|3.31|Poudre de dattes
Ccpb|2025-02-25|Italie|19012.8|2.93|55707.504|184391.83824|55707.504|3.31|Dattes dénoyautées
Ccpb|2025-02-21|Pays-Bas|3000.0|2.7|8100.000000000001|26730.0|8100.000000000001|3.3|Dattes dénoyautées
Ccpb|2025-02-21|France|8190.0|2.5|20475|67772.25|20475.0|3.31|Dattes Branchées
Ccpb|2025-02-25|Italie|19012.8|2.93|55707.504|184391.83824|55707.504|3.31|Dattes dénoyautées
Ccpb|2025-02-25|Allemagne|22000.0|2.4|52800|174768.0|52800.0|3.31|Poudre de dattes
Ccpb|2025-02-26|USA|17460.0|3.37|58840.2|195349.464|58840.2|3.32|Dattes dénoyautées
Ccpb|2025-02-28|Turquie|19800.0|2.95|58410|193337.1|58410.0|3.31|Dattes dénoyautées
Ccpb|2025-02-28|Espagne|4950.0|2.95|14602.5|48334.275|14602.5|3.31|Dattes dénoyautées
Ccpb|2025-03-07|Allemagne|4000.0|3.05|12200|40382.0|12200.0|3.31|Dattes dénoyautées
Ccpb|2025-03-07|USA|17460.0|3.29|57443.4|191286.522|57443.4|3.33|Dattes dénoyautées
Ccpb|2025-03-10|Allemagne|15000.0|2.75|41250|136537.5|41250.0|3.31|Dattes découpées
Ccpb|2025-03-11|Italie|13828.8|2.93|40518.384|135331.40256|40518.384|3.34|Dattes dénoyautées
Ccpb|2025-03-10|Pays-Bas|5000.0|2.7|13500|45090.0|13500.0|3.34|Dattes dénoyautées
Ccpb|2025-03-12|USA|19200.0|2.56|49152|164167.68|49152.0|3.34|Poudre de dattes
Ccpb|2025-03-14|Belgique|4000.0|1.25|5000|16750.0|5000.0|3.35|Pâte de dattes
Ccpb|2025-03-14|France|5000.0|2.2|11000|36850.0|11000.0|3.35|Dattes dénoyautées
Ccpb|2025-03-14|France|3006.0|1.0|3006|10070.1|3006.0|3.35|Pâte de dattes
Ccpb|2025-03-14|Lettonie|8000.0|2.9|23200|76792.0|23200.0|3.31|Dattes dénoyautées
Ccpb|2025-03-14|Pays-Bas|19800.0|3.17|62766|207755.46|62766.0|3.31|Dattes dénoyautées
Ccpb|2025-03-17|Allemagne|5292.0|2.6|13759.2|46093.32000000001|13759.2|3.35|Dattes dénoyautées
Ccpb|2025-03-18|USA|17460.0|3.25|56745|190095.75|56745.0|3.35|Dattes dénoyautées
Ccpb|2025-03-18|Belgique|5000.0|3.3|16500|55440.0|16500.0|3.36|Poudre de dattes
Ccpb|2025-03-24|Turquie|19800.0|3.15|62370|208939.5|62370.0|3.35|Dattes dénoyautées
Ccpb|2025-03-24|Allemagne|20000.0|2.3|1|154284.0|46000.0|3.354|Poudre de dattes
Ccpb|2025-03-21|Pays-Bas|4000.0|2.7|10800|36288.0|10800.0|3.36|Dattes dénoyautées
Ccpb|2025-03-28|Pays-Bas|7000.0|2.7|18900|63126.0|18900.0|3.34|Dattes dénoyautées
Ccpb|2025-04-03|France|660.0|11.8|7788.000000000001|26011.92|7788.000000000001|3.34|Boules de dattes au chocolat
Ccpb|2025-04-04|France|4400.0|1.05|4620|15430.8|4620.0|3.34|Pâte de dattes
Ccpb|2025-04-04|France|4746.0|3.15|14949.9|49932.666|14949.9|3.34|Dattes Standards
Ccpb|2025-04-04|Allemagne|20800.0|2.6|54080|181168.0|54080.0|3.35|Poudre de dattes
Ccpb|2025-04-04|Allemagne|3200.0|2.75|8800|29480.0|8800.0|3.35|Poudre de dattes
Ccpb|2025-04-04|Allemagne|20000.0|2.3|46000|154560.0|46000.0|3.36|Poudre de dattes
Ccpb|2025-04-08|USA|17460.0|3.198|55837.08|186495.8472|55837.08|3.34|Dattes dénoyautées
Ccpb|2025-04-10|Turquie|50000.0|1.8442|92210|309825.6|92210.0|3.36|Dattes dénoyautées
Ccpb|2025-04-10|France|4000.0|2.4|9600|32256.0|9600.0|3.36|Poudre de dattes
Ccpb|2025-04-11|Pays-Bas|3000.0|2.7|8100.000000000001|27297.0|8100.0|3.37|Dattes dénoyautées
Ccpb|2025-04-11|France|125.0|2.92|365|1222.75|365.0|3.35|Coeur de dattes
Ccpb|2024-04-11|Allemagne|22000.0|2.4|52800|177408.0|52800.0|3.36|Poudre de dattes
Ccpb|2024-04-15|France|7000.0|1.5|10500|35595.0|10500.0|3.39|Dattes dénoyautées
Ccpb|2025-04-15|France|10500.0|2.48|26040|87494.4|26040.0|3.36|Dattes dénoyautées
Ccpb|2025-04-17|Italie|4032.0|2.93|11813.76|40048.64640000001|11813.76|3.39|Dattes dénoyautées
Ccpb|2025-04-17|Italie|14980.8|2.93|43893.744|148799.79216|43893.744|3.39|Dattes dénoyautées
Ccpb|2025-04-17|France|800.0|2.65|2120|7186.8|2120.0|3.39|Dattes Standards
Ccpb|2025-04-17|France|1123.2|3.573|4013.1936|13604.726304|4013.1936|3.39|Dattes dénoyautées
Ccpb|2025-04-18|Turquie|25000.0|1.935|48375|163991.25|48375.0|3.39|Dattes dénoyautées
Ccpb|2025-04-18|USA|17460.0|3.24265|56616.66899999999|190798.17453|56616.66899999999|3.37|Dattes dénoyautées
Ccpb|2025-04-18|Belgique|5000.0|1.25|6250|21187.5|6250.0|3.39|Pâte de dattes
Ccpb|2025-04-21|Turquie|19800.0|2.839|56212.2|189435.114|56212.2|3.37|Dattes dénoyautées
Ccpb|2025-04-22|France|87.5|12.285714285714286|1075|3655.0|1075.0|3.4|Barres de dattes au chocolat 35 g
Ccpb|2025-04-22|France|87.5|12.285714285714286|1075|3655.0|1075.0|3.4|Barres de dattes Banane-Coco 35 g
Ccpb|2025-04-24|Allemagne|4368.0|2.88|12579.84|42771.456|12579.84|3.4|Dattes dénoyautées
Ccpb|2025-04-29|Belgique|48000.0|0.8|38400|130560.0|38400.0|3.4|dattes industrirlle
