OCC|Date exportation|Devise|EQ DT|EQ EU|PT|PU|Pays d'exportation|Quantite|Produit
les molins mahjoub|2025-06-28|1.0|2295.49572|681.156|681.156|4.77|france|142.8|shak shuka
les molins mahjoub|2025-06-29|1.0|1023.132|303.6|303.6|5.75|france|52.8|piment cayenne
les molins mahjoub|2025-06-30|1.0|6379.8144|1893.12|1893.12|4.0|france|473.28|sauce maghmouma
les molins mahjoub|2025-07-01|1.0|1154.9664|342.72|342.72|4.0|france|85.68|sauce makbouba
les molins mahjoub|2025-07-08|1.0|1280.304|376.5600000000001|376.5600000000001|5.23|france|72.0|pate d'olive
les molins mahjoub|2025-07-09|1.0|10461.0384|3076.776|3076.776|4.53|france|679.2|citron confit
les molins mahjoub|2025-07-10|1.0|1522.86816|447.9024000000001|447.9024000000001|4.99|france|89.76|piment doux
les molins mahjoub|2025-07-11|1.0|1489.1184|437.9760000000001|437.9760000000001|5.53|france|79.2|piment cayenne
les molins mahjoub|2025-07-12|1.0|3984.17712|1171.8168|1171.8168|3.73|france|314.16|sauce makbouba
les molins mahjoub|2025-07-16|1.0|1834.56|546|546.0|8.75|belgique|62.4|pate d'olive
les molins mahjoub|2025-07-17|1.0|4423.9104|1316.64|1316.64|10.55|belgique|124.8|tomate séché
les molins mahjoub|2025-07-18|1.0|5378.903711999999|1600.8642|1600.8642|18.49|belgique|86.58|harissa traditionnelle
les molins mahjoub|2025-07-19|1.0|3616.966079999999|1076.478|1076.478|18.65|belgique|57.72|pate d'artichaut
les molins mahjoub|2025-07-21|1.0|348.264|103.65|103.65|13.82|danemark|7.5|olive au citron
les molins mahjoub|2025-07-22|1.0|1674.0864|498.24|498.24|10.38|danemark|48.0|pate d'olive
les molins mahjoub|2025-07-23|1.0|1120.0896|333.36|333.36|27.78|danemark|12.0|capre
les molins mahjoub|2025-07-24|1.0|1400.7168|416.88|416.88|11.58|danemark|36.0|tomate séché
les molins mahjoub|2025-07-25|1.0|9960.57216|2964.456|2964.456|16.72|danemark|177.3|harissa traditionnelle
les molins mahjoub|2025-07-26|1.0|1545.8688|460.08|460.08|12.78|danemark|36.0|harissa au citron et capre
les molins mahjoub|2025-07-27|1.0|1251.936|372.6|372.6|5.4|danemark|69.0|m'hamsa
les molins mahjoub|2025-07-28|1.0|508.0319999999999|151.2|151.2|5.04|danemark|30.0|ww m'hamsa
les molins mahjoub|2025-07-29|1.0|903.0067199999999|268.752|268.752|10.18|danemark|26.4|citron confit
les molins mahjoub|2025-07-30|1.0|1934.63424|575.784|575.784|14.54|danemark|39.6|artichaut
les molins mahjoub|2025-07-31|1.0|906.0710400000002|269.664|269.664|8.48|danemark|31.8|confiture d'orange amer
les molins mahjoub|2025-08-01|1.0|483.35616|143.856|143.856|9.99|danemark|14.4|confiture d'abricot
les molins mahjoub|2025-08-02|1.0|2936.392704|873.9264|873.9264|39.58|danemark|22.08|coriandre
les molins mahjoub|2025-07-21|1.0|19750.752|5878.2|5878.2|20.2|belgique|291.0|capre
les molins mahjoub|2025-07-22|1.0|1221.696|363.6|363.6|12.12|belgique|30.0|tomate séché
les molins mahjoub|2025-07-23|1.0|3363.58008|1001.0655|1001.0655|13.05|belgique|76.71|pâte de tomate séché
les molins mahjoub|2025-07-24|1.0|712.72656|212.121|212.121|19.11|belgique|11.1|harissa traditionnelle
les molins mahjoub|2025-07-25|1.0|17418.24|5184|5184.0|5.4|belgique|960.0|m'hamsa
les molins mahjoub|2025-07-26|1.0|3881.364479999999|1155.168|1155.168|15.28|belgique|75.6|pate d'ail
les molins mahjoub|2025-07-27|1.0|14014.34496|4170.936|4170.936|13.42|belgique|310.8|artichaut
les molins mahjoub|2025-07-28|1.0|2812.30488|836.9955|836.9955|13.71|belgique|61.05|pate d'artichaut
les molins mahjoub|2025-07-31|1.0|609.5519999999999|183.6|183.6|4.5|france|40.8|pate d'olive
les molins mahjoub|2025-08-01|1.0|657.36|198|198.0|2.75|france|72.0|citron confit
les molins mahjoub|2025-08-02|1.0|2079.648|626.4|626.4|5.8|france|108.0|slice de citron confit
les molins mahjoub|2025-08-03|1.0|1172.8896|353.28|353.28|6.4|france|55.2|tomate séché
les molins mahjoub|2025-08-18|1.0|7713.023999999999|2323.2|2323.2|4.84|belgique|480.0|m'hamsa
les molins mahjoub|2025-08-19|1.0|2875.95|866.25|866.25|13.75|belgique|63.0|pate d'ail
les molins mahjoub|2025-08-20|1.0|13225.382016|3983.5488|3983.5488|6.34|belgique|628.32|shak shuka
les molins mahjoub|2025-08-18|1.0|517.92|156|156.0|10.0|danemark|15.6|olive en saumure
les molins mahjoub|2025-08-19|1.0|639.3523200000001|192.576|192.576|5.9|danemark|32.64|sauce tastour
les molins mahjoub|2025-08-20|1.0|812.7359999999999|244.8|244.8|5.1|danemark|48.0|ww m'hamsa
les molins mahjoub|2025-08-21|1.0|507.96|153|153.0|5.1|danemark|30.0|couscous
les molins mahjoub|2025-08-22|1.0|527.0831999999999|158.76|158.76|2.1|danemark|75.6|pâte alimentaire
les molins mahjoub|2025-08-23|1.0|980.0640000000001|295.2|295.2|12.3|danemark|24.0|piment doux
les molins mahjoub|2025-08-24|1.0|615.528|185.4|185.4|10.3|danemark|18.0|slice de citron confit
les molins mahjoub|2025-08-25|1.0|2697.5664|812.52|812.52|18.3|danemark|44.4|artichaut
les molins mahjoub|2025-08-26|1.0|748.8326400000001|225.552|225.552|12.7|danemark|17.76|tige d'artichaut
les molins mahjoub|2025-08-27|1.0|1013.5296|305.28|305.28|10.6|danemark|28.8|confiture de figue
les molins mahjoub|2025-08-28|1.0|843.3331199999999|254.016|254.016|12.6|danemark|20.16|sauce de citron et figue
les molins mahjoub|2025-08-26|1.0|244.2492|71.83800000000001|71.83800000000001|9.21|france|7.8|olive en saumure
les molins mahjoub|2025-08-27|1.0|251.175|73.875|73.875|9.85|france|7.5|olive au citron
les molins mahjoub|2025-08-28|1.0|371.688|109.32|109.32|9.11|france|12.0|olive à l'ail
les molins mahjoub|2025-08-29|1.0|865.368|254.52|254.52|21.21|france|12.0|capre
les molins mahjoub|2025-08-30|1.0|3242.988|953.82|953.82|7.57|france|126.0|tomate séché
les molins mahjoub|2025-08-31|1.0|373.4505599999999|109.8384|109.8384|9.34|france|11.76|pâte de tomate séché
les molins mahjoub|2025-09-01|1.0|671.772|197.58|197.58|17.8|france|11.1|harissa traditionnelle
les molins mahjoub|2025-09-02|1.0|75.87983999999999|22.3176|22.3176|5.47|france|4.08|sauce teboursok
les molins mahjoub|2025-09-03|1.0|75.87983999999999|22.3176|22.3176|5.47|france|4.08|sauce tebourba
les molins mahjoub|2025-09-04|1.0|2857.53|840.4499999999999|840.4499999999999|4.31|france|195.0|m'hamsa
les molins mahjoub|2025-09-05|1.0|3221.2212|947.418|947.418|10.76|france|88.05|pate d'artichaut
les molins mahjoub|2025-09-06|1.0|108.98496|32.0544|32.0544|2.12|france|15.12|pâte alimentaire
les molins mahjoub|2025-09-07|1.0|78.14016|22.9824|22.9824|9.12|france|2.52|sauce d'orange et artichaut
les molins mahjoub|2025-09-08|1.0|1888.02|555.3|555.3|6.17|france|90.0|citron confit
les molins mahjoub|2025-09-09|1.0|100.08648|29.4372|29.4372|13.26|france|2.22|piment doux
les molins mahjoub|2025-09-10|1.0|910.0031999999999|267.648|267.648|6.56|france|40.8|shak shuka
les molins mahjoub|2025-08-27|1.0|9420.222240000001|2787.048|2787.048|6.9|belgique|403.92|shak shuka
les molins mahjoub|2025-09-02|1.0|6163.056|1828.8|1828.8|10.16|danemark|180.0|pate d'olive
les molins mahjoub|2025-09-03|1.0|6590.1024|1955.52|1955.52|11.64|danemark|168.0|pâte de tomate séché
les molins mahjoub|2025-09-04|1.0|10241.16714|3038.922|3038.922|17.14|danemark|177.3|harissa traditionnelle
les molins mahjoub|2025-09-05|1.0|1601.424|475.2|475.2|13.2|danemark|36.0|harissa au citron et capre
les molins mahjoub|2025-09-06|1.0|424.56945|125.985|125.985|11.35|danemark|11.1|harissa
les molins mahjoub|2025-09-07|1.0|3654.0573|1084.29|1084.29|7.69|danemark|141.0|m'hamsa
les molins mahjoub|2025-09-08|1.0|1414.83384|419.8319999999999|419.8319999999999|10.29|danemark|40.8|shak shuka
les molins mahjoub|2025-09-09|1.0|7279.2|2160|2160.0|15.0|danemark|144.0|pate d'artichaut
les molins mahjoub|2025-09-10|1.0|776.577408|230.4384|230.4384|7.06|danemark|32.64|tige d'artichaut
les molins mahjoub|2025-09-11|1.0|953.7774000000002|283.02|283.02|8.9|danemark|31.8|confiture d'orange amer
les molins mahjoub|2025-09-12|1.0|504.6912000000001|149.76|149.76|10.4|danemark|14.4|confiture d'abricot
les molins mahjoub|2025-09-13|1.0|6470.400000000001|1920|1920.0|40.0|danemark|48.0|coriandre
les molins mahjoub|2025-09-14|1.0|504.6912000000001|149.76|149.76|10.4|danemark|14.4|confiture de citron
les molins mahjoub|2025-09-15|1.0|475.5744|141.12|141.12|9.8|danemark|14.4|confiture de framboise
les molins mahjoub|2025-09-17|1.15|351.9138073671439|11.592|102.8987740839602|8.876705838850949|uk|10.08|olive en saumure
les molins mahjoub|2025-09-18|1.15|603.6708922785731|19.319999999999997|176.5119568066003|9.136229648374758|uk|16.8|olive à l'ail
les molins mahjoub|2025-09-19|1.15|646.7902417270425|20.7|189.1199537213575|9.136229648374758|uk|18.0|olive au harissa
les molins mahjoub|2025-09-20|1.15|1364.374483454085|41.39999999999999|398.9399074427149|9.636229648374758|uk|36.0|pate d'olive
les molins mahjoub|2025-09-21|1.15|3218.852330696433|48.3|941.1848920165008|19.48622964837476|uk|42.0|capre
les molins mahjoub|2025-09-22|1.15|4196.872633671439|115.91999999999999|1227.155740839602|10.58622964837476|uk|100.8|tomate séché
les molins mahjoub|2025-09-23|1.15|4453.522944846951|138.00000000000003|1302.199691475717|9.43622964837476|uk|120.0|pâte de tomate séché
les molins mahjoub|2025-09-24|1.15|2014.033236991715|63.82499999999999|588.8986073075189|9.2267701889153|uk|55.5|harissa
les molins mahjoub|2025-09-25|1.15|861.7190402183935|8.210999999999999|251.9646316428051|30.68622964837476|uk|7.14|papreka
les molins mahjoub|2025-09-26|1.15|1437.853236211738|34.5|420.4249228689292|12.18622964837476|uk|30.0|harissa au citron et capre
